Date,Store,Dept,Size,Week,Month,Quarter,SuperBowl,LaborDay,Thanksgiving,Christmas,Type_A,Type_B,Type_C
2013-01-06,1,3,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,3,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,3,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,3,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,3,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,3,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,3,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,3,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,4,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,4,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,4,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,4,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,4,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,4,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,4,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,4,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,4,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,4,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,4,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,4,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,4,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,4,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,4,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,4,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,4,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,5,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,5,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,5,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,5,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,5,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,5,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,5,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,5,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,5,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,5,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,5,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,5,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,5,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,5,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,5,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,5,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,5,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,6,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,6,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,6,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,6,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,6,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,6,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,6,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,6,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,6,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,6,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,6,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,6,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,6,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,6,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,6,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,6,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,6,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,7,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,7,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,7,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,7,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,7,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,7,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,7,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,7,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,7,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,7,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,7,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,7,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,7,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,7,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,7,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,7,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,7,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,8,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,8,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,8,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,8,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,8,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,8,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,8,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,8,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,8,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,8,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,8,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,8,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,8,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,8,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,8,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,8,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,8,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,9,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,9,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,9,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,9,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,9,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,9,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,9,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,9,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,9,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,9,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,9,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,9,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,9,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,9,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,9,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,9,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,9,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,10,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,10,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,10,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,10,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,10,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,10,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,10,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,10,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,10,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,10,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,10,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,10,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,10,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,10,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,10,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,10,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,10,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,11,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,11,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,11,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,11,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,11,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,11,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,11,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,11,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,11,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,11,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,11,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,11,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,11,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,11,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,11,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,11,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,11,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,12,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,12,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,12,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,12,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,12,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,12,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,12,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,12,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,12,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,12,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,12,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,12,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,12,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,12,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,12,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,12,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,12,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,13,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,13,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,13,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,13,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,13,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,13,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,13,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,13,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,13,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,13,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,13,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,13,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,13,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,13,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,13,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,13,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,13,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,14,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,14,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,14,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,14,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,14,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,14,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,14,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,14,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,14,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,14,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,14,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,14,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,14,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,14,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,14,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,14,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,14,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,15,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,15,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,15,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,15,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,15,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,15,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,15,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,15,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,15,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,15,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,15,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,15,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,15,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,15,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,15,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,15,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,15,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,16,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,16,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,16,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,16,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,16,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,16,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,16,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,16,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,16,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,16,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,16,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,16,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,16,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,16,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,16,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,16,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,16,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,17,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,17,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,17,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,17,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,17,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,17,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,17,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,17,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,17,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,17,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,17,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,17,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,17,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,17,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,17,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,17,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,17,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,18,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,18,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,18,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,18,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,18,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,18,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,18,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,18,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,18,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,18,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,18,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,18,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,18,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,18,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,18,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,18,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,18,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,19,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,19,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,19,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,19,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,19,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,19,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,19,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,19,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,19,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,19,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,19,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,19,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,19,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,19,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,19,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,19,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,19,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,20,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,20,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,20,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,20,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,20,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,20,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,20,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,20,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,20,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,20,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,20,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,20,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,20,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,20,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,20,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,20,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,20,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,21,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,21,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,21,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,21,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,21,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,21,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,21,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,21,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,21,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,21,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,21,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,21,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,21,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,21,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,21,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,21,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,21,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,22,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,22,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,22,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,22,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,22,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,22,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,22,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,22,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,22,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,22,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,22,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,22,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,22,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,22,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,22,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,22,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,22,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,23,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,23,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,23,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,23,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,23,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,23,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,23,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,23,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,23,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,23,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,23,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,23,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,23,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,23,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,23,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,23,151315,7,2,1,0,0,0,0,1,0,0
2013-02-24,1,23,151315,8,2,1,0,0,0,0,1,0,0
2012-11-04,1,24,151315,44,11,4,0,0,0,0,1,0,0
2012-11-11,1,24,151315,45,11,4,0,0,0,0,1,0,0
2012-11-18,1,24,151315,46,11,4,0,0,0,0,1,0,0
2012-11-25,1,24,151315,47,11,4,0,0,1,0,1,0,0
2012-12-02,1,24,151315,48,12,4,0,0,0,0,1,0,0
2012-12-09,1,24,151315,49,12,4,0,0,0,0,1,0,0
2012-12-16,1,24,151315,50,12,4,0,0,0,0,1,0,0
2012-12-23,1,24,151315,51,12,4,0,0,0,0,1,0,0
2012-12-30,1,24,151315,52,12,4,0,0,0,1,1,0,0
2013-01-06,1,24,151315,1,1,1,0,0,0,0,1,0,0
2013-01-13,1,24,151315,2,1,1,0,0,0,0,1,0,0
2013-01-20,1,24,151315,3,1,1,0,0,0,0,1,0,0
2013-01-27,1,24,151315,4,1,1,0,0,0,0,1,0,0
2013-02-03,1,24,151315,5,2,1,0,0,0,0,1,0,0
2013-02-10,1,24,151315,6,2,1,1,0,0,0,1,0,0
2013-02-17,1,24,151315,7,2,1,0,0,0,0,1,0,0
